#T	p	rho	Volume	Internal Energy	Enthalpy	Entropy	Cv	Cp	Sound Spd.	Joule-Thomson	Viscosity	Therm. Cond.
100	0.10132	3.4831	0.2871	2.0392	2.8541	159.39	21.053	30.025	201.61	16.085	6.9588	0.009382
110	0.10132	3.1508	0.31738	2.2521	3.153	162.24	20.969	29.778	212.07	13.462	7.6082	0.010335
120	0.10132	2.8782	0.34744	2.4637	3.4499	164.82	20.918	29.618	221.96	11.496	8.2449	0.011274
130	0.10132	2.6502	0.37733	2.6745	3.7455	167.19	20.885	29.509	231.36	9.9702	8.869	0.012199
140	0.10132	2.4563	0.40712	2.8846	4.0402	169.37	20.863	29.431	240.35	8.7526	9.4807	0.013109
150	0.10132	2.2893	0.43681	3.0943	4.3342	171.4	20.847	29.374	248.99	7.7591	10.08	0.014005
160	0.10132	2.1439	0.46645	3.3037	4.6277	173.29	20.836	29.33	257.32	6.9336	10.668	0.014887
170	0.10132	2.016	0.49603	3.5129	4.9209	175.07	20.829	29.297	265.37	6.2371	11.245	0.015755
180	0.10132	1.9027	0.52558	3.7219	5.2137	176.74	20.823	29.27	273.17	5.6418	11.811	0.01661
190	0.10132	1.8015	0.55509	3.9307	5.5063	178.32	20.818	29.249	280.74	5.1273	12.366	0.017451
200	0.10132	1.7107	0.58457	4.1394	5.7987	179.82	20.815	29.232	288.1	4.6784	12.911	0.01828
210	0.10132	1.6286	0.61403	4.348	6.0909	181.25	20.812	29.218	295.28	4.2833	13.447	0.019097
220	0.10132	1.5541	0.64348	4.5566	6.3831	182.61	20.811	29.207	302.27	3.9331	13.973	0.019902
230	0.10132	1.4861	0.6729	4.7651	6.6751	183.91	20.809	29.197	309.11	3.6206	14.49	0.020696
240	0.10132	1.4239	0.70232	4.9735	6.967	185.15	20.809	29.189	315.79	3.34	14.999	0.021479
250	0.10132	1.3666	0.73172	5.1819	7.2589	186.34	20.809	29.183	322.33	3.0868	15.5	0.022251
260	0.10132	1.3139	0.76111	5.3903	7.5507	187.49	20.809	29.178	328.74	2.8572	15.992	0.023013
270	0.10132	1.265	0.7905	5.5986	7.8424	188.59	20.81	29.175	335.02	2.6481	16.477	0.023766
