#T	p	rho	Volume	Internal Energy	Enthalpy	Entropy	Cv	Cp	Sound Spd.	Joule-Thomson	Viscosity	Therm. Cond.
100	0.10132	3.9946	0.25034	2.035	2.8467	172.85	20.888	29.938	188.33	18.487	7.7122	0.0090872
110	0.10132	3.6106	0.27697	2.2474	3.1454	175.7	20.933	29.818	198.09	15.755	8.4732	0.010043
120	0.10132	3.2962	0.30338	2.4594	3.443	178.29	20.939	29.703	207.32	13.544	9.2195	0.010991
130	0.10132	3.0336	0.32964	2.6707	3.7395	180.66	20.92	29.593	216.14	11.744	9.9515	0.011931
140	0.10132	2.8107	0.35578	2.8814	4.035	182.85	20.896	29.502	224.58	10.286	10.67	0.012861
150	0.10132	2.619	0.38183	3.0916	4.3296	184.89	20.876	29.432	232.68	9.0985	11.375	0.013782
160	0.10132	2.4521	0.40781	3.3014	4.6237	186.78	20.861	29.377	240.5	8.1202	12.067	0.014693
170	0.10132	2.3055	0.43374	3.5109	4.9172	188.56	20.85	29.336	248.04	7.3041	12.747	0.015594
180	0.10132	2.1757	0.45963	3.7202	5.2104	190.24	20.843	29.305	255.35	6.6144	13.415	0.016485
190	0.10132	2.0598	0.48549	3.9293	5.5033	191.82	20.839	29.283	262.44	6.0243	14.072	0.017367
200	0.10132	1.9557	0.51132	4.1383	5.7961	193.32	20.84	29.267	269.33	5.5139	14.718	0.018239
210	0.10132	1.8618	0.53713	4.3472	6.0887	194.75	20.843	29.258	276.04	5.0678	15.353	0.019102
220	0.10132	1.7765	0.56291	4.5562	6.3813	196.11	20.851	29.255	282.58	4.6744	15.978	0.019955
230	0.10132	1.6987	0.58869	4.7651	6.6738	197.41	20.863	29.258	288.95	4.3246	16.593	0.0208
240	0.10132	1.6275	0.61445	4.9742	6.9665	198.66	20.879	29.266	295.17	4.0115	17.199	0.021636
250	0.10132	1.562	0.6402	5.1835	7.2592	199.85	20.9	29.28	301.25	3.7294	17.795	0.022464
260	0.10132	1.5016	0.66594	5.3929	7.5521	201	20.925	29.299	307.19	3.4738	18.383	0.023284
270	0.10132	1.4458	0.69167	5.6026	7.8452	202.11	20.956	29.324	313.01	3.2411	18.963	0.024096
280	0.10132	1.3939	0.71739	5.8126	8.1386	203.18	20.991	29.356	318.69	3.0283	19.534	0.0249
290	0.10132	1.3457	0.74311	6.0229	8.4323	204.21	21.032	29.393	324.27	2.8329	20.097	0.025696
300	0.10132	1.3007	0.76882	6.2337	8.7264	205.2	21.079	29.435	329.72	2.653	20.652	0.026486
310	0.10132	1.2586	0.79453	6.4449	9.021	206.17	21.13	29.484	335.07	2.4866	21.201	0.027268
320	0.10132	1.2192	0.82023	6.6567	9.3161	207.11	21.187	29.537	340.32	2.3325	21.742	0.028044
330	0.10132	1.1821	0.84593	6.8691	9.6118	208.02	21.248	29.596	345.47	2.1893	22.276	0.028813
340	0.10132	1.1473	0.87162	7.082	9.9081	208.9	21.314	29.66	350.52	2.056	22.803	0.029576
350	0.10132	1.1144	0.89731	7.2957	10.205	209.76	21.385	29.729	355.48	1.9316	23.324	0.030333
360	0.10132	1.0834	0.923	7.51	10.503	210.6	21.46	29.802	360.35	1.8154	23.839	0.031083
370	0.10132	1.0541	0.94868	7.7252	10.801	211.42	21.539	29.879	365.14	1.7066	24.348	0.031828
380	0.10132	1.0263	0.97437	7.9411	11.1	212.22	21.622	29.96	369.85	1.6046	24.851	0.032567
390	0.10132	0.99995	1	8.1579	11.4	212.99	21.707	30.045	374.49	1.5088	25.348	0.0333
400	0.10132	0.97492	1.0257	8.3755	11.701	213.76	21.796	30.132	379.05	1.4187	25.84	0.034029
410	0.10132	0.95111	1.0514	8.594	12.003	214.5	21.888	30.222	383.54	1.334	26.326	0.034752
420	0.10132	0.92844	1.0771	8.8134	12.306	215.23	21.982	30.315	387.96	1.2541	26.807	0.035469
430	0.10132	0.90683	1.1027	9.0338	12.609	215.95	22.077	30.41	392.32	1.1787	27.283	0.036182
440	0.10132	0.8862	1.1284	9.2552	12.914	216.65	22.175	30.506	396.62	1.1076	27.754	0.036891
450	0.10132	0.86649	1.1541	9.4775	13.219	217.33	22.274	30.604	400.86	1.0403	28.221	0.037594
460	0.10132	0.84764	1.1798	9.7008	13.526	218.01	22.374	30.704	405.05	0.97672	28.683	0.038293
470	0.10132	0.82959	1.2054	9.9251	13.833	218.67	22.475	30.804	409.18	0.91648	29.14	0.038988
480	0.10132	0.81229	1.2311	10.15	14.142	219.32	22.577	30.905	413.26	0.85939	29.593	0.039678
490	0.10132	0.7957	1.2567	10.377	14.452	219.96	22.679	31.006	417.29	0.80525	30.042	0.040364
500	0.10132	0.77978	1.2824	10.604	14.762	220.58	22.781	31.108	421.27	0.75385	30.486	0.041046
510	0.10132	0.76448	1.3081	10.833	15.074	221.2	22.883	31.21	425.21	0.70503	30.927	0.041724
520	0.10132	0.74977	1.3337	11.062	15.386	221.81	22.985	31.311	429.1	0.65862	31.363	0.042398
530	0.10132	0.73562	1.3594	11.292	15.7	222.4	23.087	31.413	432.96	0.61446	31.796	0.043069
540	0.10132	0.72199	1.3851	11.524	16.015	222.99	23.189	31.514	436.77	0.57242	32.225	0.043735
550	0.10132	0.70886	1.4107	11.756	16.33	223.57	23.29	31.614	440.54	0.53237	32.651	0.044398
560	0.10132	0.6962	1.4364	11.99	16.647	224.14	23.39	31.714	444.28	0.49419	33.073	0.045058
570	0.10132	0.68398	1.462	12.224	16.964	224.7	23.489	31.812	447.98	0.45776	33.491	0.045714
580	0.10132	0.67218	1.4877	12.46	17.283	225.26	23.587	31.91	451.64	0.42298	33.906	0.046367
590	0.10132	0.66079	1.5133	12.696	17.603	225.8	23.684	32.007	455.28	0.38976	34.318	0.047017
600	0.10132	0.64977	1.539	12.933	17.923	226.34	23.781	32.103	458.88	0.35801	34.727	0.047663
610	0.10132	0.63912	1.5647	13.172	18.245	226.87	23.876	32.198	462.44	0.32764	35.132	0.048306
620	0.10132	0.62881	1.5903	13.411	18.567	227.4	23.969	32.291	465.98	0.29857	35.535	0.048946
630	0.10132	0.61882	1.616	13.651	18.891	227.92	24.062	32.384	469.49	0.27074	35.934	0.049584
640	0.10132	0.60915	1.6416	13.892	19.215	228.43	24.153	32.475	472.97	0.24406	36.331	0.050218
650	0.10132	0.59978	1.6673	14.134	19.54	228.93	24.243	32.564	476.43	0.21849	36.725	0.050849
660	0.10132	0.59069	1.6929	14.377	19.866	229.43	24.332	32.653	479.85	0.19395	37.116	0.051478
670	0.10132	0.58187	1.7186	14.621	20.193	229.92	24.419	32.739	483.25	0.17041	37.504	0.052104
